tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2013-520,Roland Garros,Clay,128,G,20130527,122,104745,3,,Rafael Nadal,L,185,ESP,26.98151951,104527,9,,Stan Wawrinka,R,183,SUI,28.16427105,6-2 6-3 6-1,5,QF,116,5,0,73,55,40,11,12,4,5,3,4,87,52,30,12,12,5,12,4,6895,10,2630
2013-520,Roland Garros,Clay,128,G,20130527,125,104745,3,,Rafael Nadal,L,185,ESP,26.98151951,104925,1,,Novak Djokovic,R,188,SRB,26.01505818,6-4 3-6 6-1 6-7(3) 9-7,5,SF,277,6,3,160,102,73,35,27,4,9,5,2,175,118,76,30,27,8,16,4,6895,1,12310
2013-520,Roland Garros,Clay,128,G,20130527,127,104745,3,,Rafael Nadal,L,185,ESP,26.98151951,103970,4,,David Ferrer,R,175,ESP,31.15126626,6-3 6-2 6-3,5,F,136,5,2,87,61,43,11,13,9,12,1,5,85,53,31,8,13,8,16,4,6895,5,6740
2013-410,Monte Carlo Masters,Clay,56,M,20130414,55,104925,1,,Novak Djokovic,R,188,SRB,25.90006845,104745,3,,Rafael Nadal,L,185,ESP,26.86652977,6-2 7-6(1),3,F,112,2,0,61,38,24,14,10,3,6,2,3,78,56,31,7,10,7,12,1,12500,5,6385
2014-410,Monte Carlo Masters,Clay,56,M,20140413,25,104745,1,,Rafael Nadal,L,185,ESP,27.86310746,104559,,Q,Teymuraz Gabashvili,R,188,RUS,28.89253936,6-4 6-1,3,R32,73,2,0,52,39,31,3,9,2,4,1,2,42,21,10,6,8,0,5,1,13730,58,779
2014-410,Monte Carlo Masters,Clay,56,M,20140413,41,104745,1,,Rafael Nadal,L,185,ESP,27.86310746,104312,,,Andreas Seppi,R,190,ITA,30.14373717,6-1 6-3,3,R16,74,2,2,45,29,24,7,8,5,6,1,0,49,27,15,7,8,0,5,1,13730,35,1150
2014-425,Barcelona,Clay,48,A,20140421,17,104745,1,,Rafael Nadal,L,185,ESP,27.88227242,105077,,,Albert Ramos,L,188,ESP,26.2587269,7-6(2) 6-4,3,R32,117,1,0,70,51,35,12,11,2,4,1,3,67,40,26,11,11,0,3,1,13310,103,569
2014-425,Barcelona,Clay,48,A,20140421,33,104745,1,,Rafael Nadal,L,185,ESP,27.88227242,104471,,,Ivan Dodig,R,183,CRO,29.29774127,6-3 6-3,3,R16,84,1,0,48,36,25,9,9,0,1,5,3,57,32,21,9,9,4,8,1,13310,37,1110
2014-1536,Madrid Masters,Clay,56,M,20140504,25,104745,1,,Rafael Nadal,L,185,ESP,27.92060233,104338,,,Juan Monaco,R,185,ARG,30.09993155,6-1 6-0,3,R32,69,3,0,44,35,24,5,7,1,2,0,1,38,22,8,3,6,4,10,1,12900,56,880
2014-1536,Madrid Masters,Clay,56,M,20140504,41,104745,1,,Rafael Nadal,L,185,ESP,27.92060233,103813,,,Jarkko Nieminen,L,185,FIN,32.78302533,6-1 6-4,3,R16,80,2,0,51,38,25,8,8,3,4,2,0,52,41,23,2,9,6,11,1,12900,57,840
2014-1536,Madrid Masters,Clay,56,M,20140504,49,104745,1,,Rafael Nadal,L,185,ESP,27.92060233,104607,6,,Tomas Berdych,R,196,CZE,28.62970568,6-4 6-2,3,QF,88,4,0,54,41,32,7,9,1,1,0,1,55,39,23,9,9,2,5,1,12900,6,4780
2014-1536,Madrid Masters,Clay,56,M,20140504,53,104745,1,,Rafael Nadal,L,185,ESP,27.92060233,105138,,,Roberto Bautista Agut,R,183,ESP,26.05612594,6-4 6-3,3,SF,103,2,3,51,35,25,9,9,2,4,0,1,77,55,33,6,10,8,13,1,12900,45,1000
2014-1536,Madrid Masters,Clay,56,M,20140504,55,104745,1,,Rafael Nadal,L,185,ESP,27.92060233,105453,10,,Kei Nishikori,R,178,JPN,24.34770705,2-6 6-4 3-0 RET,3,F,103,4,2,55,43,31,7,11,3,6,2,3,65,38,25,13,10,6,9,1,12900,12,2440
2014-416,Rome Masters,Clay,56,M,20140511,25,104745,1,,Rafael Nadal,L,185,ESP,27.93976728,104468,,,Gilles Simon,R,183,FRA,29.37166324,7-6(1) 6-7(4) 6-2,3,R32,199,4,2,109,86,53,13,16,6,10,7,1,132,78,49,24,16,7,13,1,12900,30,1225
2014-416,Rome Masters,Clay,56,M,20140511,41,104745,1,,Rafael Nadal,L,185,ESP,27.93976728,104022,14,,Mikhail Youzhny,R,183,RUS,31.87953457,6-7(4) 6-2 6-1,3,R16,164,1,4,99,75,55,7,14,7,9,0,2,102,73,38,15,13,9,15,1,12900,16,2020
2014-416,Rome Masters,Clay,56,M,20140511,49,104745,1,,Rafael Nadal,L,185,ESP,27.93976728,104918,7,,Andy Murray,R,190,GBR,26.99247091,1-6 6-3 7-5,3,QF,161,6,1,86,61,41,13,14,6,10,5,4,98,63,44,11,14,8,12,1,12900,8,3950
2014-416,Rome Masters,Clay,56,M,20140511,53,104745,1,,Rafael Nadal,L,185,ESP,27.93976728,105777,12,,Grigor Dimitrov,R,188,BUL,22.98973306,6-2 6-2,3,SF,83,1,0,55,44,29,8,8,3,3,2,3,46,29,17,4,8,3,7,1,12900,14,2200
2014-520,Roland Garros,Clay,128,G,20140526,1,104745,1,,Rafael Nadal,L,185,ESP,27.97809719,104068,,WC,Robby Ginepri,R,183,USA,31.63312799,6-0 6-3 6-0,5,R128,102,1,0,52,30,26,15,10,1,1,2,4,86,59,25,11,11,11,19,1,12500,279,169
2014-520,Roland Garros,Clay,128,G,20140526,65,104745,1,,Rafael Nadal,L,185,ESP,27.97809719,106233,,,Dominic Thiem,R,185,AUT,20.72553046,6-2 6-2 6-3,5,R64,125,0,0,79,54,36,17,13,2,4,2,3,70,45,18,14,12,3,10,1,12500,57,812
2014-520,Roland Garros,Clay,128,G,20140526,97,104745,1,,Rafael Nadal,L,185,ESP,27.97809719,104919,,,Leonardo Mayer,R,188,ARG,27.03080082,6-2 7-5 6-2,5,R32,137,0,1,83,60,42,15,14,6,8,2,5,92,50,26,19,14,3,10,1,12500,65,733
2014-520,Roland Garros,Clay,128,G,20140526,113,104745,1,,Rafael Nadal,L,185,ESP,27.97809719,105583,,,Dusan Lajovic,R,180,SRB,23.90417522,6-1 6-2 6-1,5,R16,93,0,1,59,37,30,14,11,3,4,3,3,57,28,14,4,11,2,10,1,12500,83,632
2014-520,Roland Garros,Clay,128,G,20140526,121,104745,1,,Rafael Nadal,L,185,ESP,27.97809719,103970,5,,David Ferrer,R,175,ESP,32.14784394,4-6 6-4 6-0 6-1,5,QF,154,1,1,102,63,43,22,16,11,14,2,1,95,60,32,15,17,5,14,1,12500,5,5030
2014-520,Roland Garros,Clay,128,G,20140526,125,104745,1,,Rafael Nadal,L,185,ESP,27.97809719,104918,7,,Andy Murray,R,190,GBR,27.03080082,6-3 6-2 6-1,5,SF,100,2,2,59,45,41,8,12,0,0,2,3,67,35,22,11,12,0,6,1,12500,8,4120
2014-520,Roland Garros,Clay,128,G,20140526,127,104745,1,,Rafael Nadal,L,185,ESP,27.97809719,104925,2,,Novak Djokovic,R,188,SRB,27.01163587,3-6 7-5 6-2 6-4,5,F,211,3,4,120,84,61,18,19,6,9,11,3,126,82,59,16,20,4,10,1,12500,2,11850
2014-410,Monte Carlo Masters,Clay,56,M,20140413,49,103970,6,,David Ferrer,R,175,ESP,32.03285421,104745,1,,Rafael Nadal,L,185,ESP,27.86310746,7-6(1) 6-4,3,QF,134,1,1,90,55,33,20,11,7,10,1,2,80,49,29,14,11,6,10,6,4640,1,13730
2014-425,Barcelona,Clay,48,A,20140421,41,104597,6,,Nicolas Almagro,R,183,ESP,28.66529774,104745,1,,Rafael Nadal,L,185,ESP,27.88227242,2-6 7-6(5) 6-4,3,QF,167,4,2,121,65,43,25,15,13,18,2,4,91,61,43,14,15,3,7,20,1750,1,13310
2014-416,Rome Masters,Clay,56,M,20140511,55,104925,2,,Novak Djokovic,R,188,SRB,26.97330595,104745,1,,Rafael Nadal,L,185,ESP,27.93976728,4-6 6-3 6-3,3,F,139,7,0,72,45,32,15,14,2,6,0,2,93,70,38,10,14,8,14,2,11030,1,12900
2015-506,Buenos Aires,Clay,28,A,20150223,13,104745,1,,Rafael Nadal,L,185,ESP,28.72553046,106032,,Q,Facundo Arguello,R,,ARG,22.55441478,6-4 6-0,3,R16,65,2,0,42,30,23,7,8,2,3,2,3,47,33,15,5,8,3,8,4,5425,146,363
2015-506,Buenos Aires,Clay,28,A,20150223,21,104745,1,,Rafael Nadal,L,185,ESP,28.72553046,105643,,,Federico Delbonis,L,190,ARG,24.38603696,6-1 6-1,3,QF,62,0,2,38,24,20,9,7,0,0,0,2,46,29,15,5,7,4,9,4,5425,59,816
